adult,original_language,popularity,runtime,title,vote_average,vote_count,Year,budget,revenue
FALSE,en,6.127302,98,Moms' Night Out,5.5,122,2014,5,10.429707
FALSE,en,36.447603,89,Lucy,6.3,6048,2014,40,126.546825
FALSE,en,26.058586,131,X-Men: Days of Future Past,7.5,6155,2014,250,747.862775
FALSE,en,14.019239,123,Godzilla,6.1,3232,2014,160,529.076069
FALSE,en,7.844705,95,Walk of Shame,5.8,561,2014,15,0.059209
FALSE,en,6.660309,88,Legends of Oz: Dorothy's Return,5.8,45,2013,70,18.662027
FALSE,en,8.720309,114,Chef,7.2,1203,2014,11,45.967935
FALSE,en,8.93232,85,Afflicted,6.4,210,2014,0.318,0.121179
FALSE,en,10.395472,117,Blended,6.6,1028,2014,40,123.49461
FALSE,en,10.289628,104,Begin Again,7.3,1285,2013,8,63.464861
FALSE,en,19.467404,97,Maleficent,7,4607,2014,180,758.539785
FALSE,en,31.982986,113,Edge of Tomorrow,7.6,4979,2014,178,370.541256
FALSE,en,17.836882,131,Mission: Impossible - Rogue Nation,7.1,3274,2015,150,682.330139
FALSE,en,9.453942,124,Million Dollar Arm,6.6,264,2014,25,38.307627
FALSE,en,16.274653,125,The Fault in Our Stars,7.6,3868,2014,12,307.166834
FALSE,en,15.108283,112,The Grand Seduction,6.7,109,2014,12.7,3.430018
FALSE,en,5.346121,93,Black Nativity,5.8,16,2013,17.5,7.018189
FALSE,xx,6.583428,89,Minuscule: Valley of the Lost Ants,6.6,128,2013,19.7,30
FALSE,fr,0.110065,95,Camille Claudel 1915,7,20,2013,3.512454,0.11586
FALSE,en,10.860471,99,Mindscape,6.5,202,2013,4.357373,1.2
FALSE,en,1.946823,87,Bikini Spring Break,3.8,20,2012,0.5,0.5
FALSE,en,10.901496,112,22 Jump Street,7,3375,2014,50,188.441614
FALSE,it,7.217205,111,Human Capital,7.4,201,2014,6,5.80933
FALSE,en,17.618057,132,The Equalizer,7.1,2997,2014,55,192.330738
FALSE,en,12.256689,102,How to Train Your Dragon 2,7.6,3163,2014,145,609.123048
FALSE,en,18.193263,119,Birdman,7.4,4657,2014,18,103.215094
